,Teste 4 ASAP - rank 1,Teste 4 ASAP - rank 2,Teste ABGD,20-49,50-79,80-109,110-139,140-169,7-9.9,10-12.9,13-16.9,17-20.9,21-24,0-1,1.1-1.4,1.41-1.8,1.9 and +,40-49,50-59,60-69,70-79,50-59,60-69,70-79,80-89,6.8-10.4,11.1-13.8,14.3-17.3,4-11,11.1-18.1,18.2-25.2,25.3 and more,0,0.1-5.2,5.3-11,11.1-25,70-80,81-91,92-99.6,18-38,39-49.9,50-60,60.1-80,0-0.9,1-1.9,2-2.9,3-more,1.5-3.9,4-6.5,6.6-9,30-64,64.1-76.5,76.6-90,42-56,56.5-66,66.1-76.5,14-38.5,39-58,58.5-83,33-53.9,54-64.9,65-75,20-33,33.1-39.4,39.5-50,40-49.9,50-54.9,55-59.9,60-80,20-44,44.1-60,61-90,12-24,25-40,41-59,13-39.9,40-54.9,55-75,No: 0 / Yes: 1,Green,Beige,Brown (passei mostarda para marrom),Black,With spots: 0 / Without spots: 1,Green,Beige,Brown,With spots: 0 / Without spots: 1,Green,Beige,Brown,No: 0 / Yes: 1,No: 0 / Yes: 1,Yes: 0 / No: 1,Yes: 0 / No: 1,"Dorsally (if it is dorsally positioned: 1, if not: 0)","Ventrally  (if it is ventrally positioned: 1, if not: 0)","Middle  (if it is positioned in the middle: 1, if not: 0)",Laterally to CGF: 0 / Laterally to FA: 1,"Plump (if it has a plump shape: 1, if not: 0)","Conical (if it has a conical shape: 1, if not: 0)","Conical-truncate (if it has a conical-truncate shape: 1, if not: 0)",Horizontal: 0 / Inclined: 1,"Middle (if it is positioned in the middle: 1, if not: 0)","Dorsally (if it is dorsally positioned: 1, if not: 0)","Ventrally (if it is ventrally positioned: 1, if not: 0)",No: 0 / Yes: 1,No: 0 / Yes: 1,Yes: 0 / No: 1,Forward inclined: 0 / Vertical - dorsum inclined: 1,Yes: 0 / No: 1
F code,H1,H2,H3,L1,L2,L3,L4,L5,W1,W2,W3,W4,W5,H1,H2,H3,H4,Mo1,Mo2,Mo3,Mo4,Go1,Go2,Go3,Go4,Ph1,Ph2,Ph3,Dorsinsert1,Dorsinsert2,Dorsinsert3,Dorsinsert4,Esoph1,Esoph2,Esoph3,Esoph4,Pouch1,Pouch2,Pouch3,VentInsert1,VentInsert2,VentInsert3,VentInsert4,PvPouch1,PvPouch2,PvPouch3,PvPouch4,CoatLeng1,CoatLeng2,CoatLeng3,CoatHeig1,CoatHeig2,CoatHeig3,MAHI1,MAHI2,MAHI3,FAHI1,FAHI2,FAHI3,PPHI1,PPHI2,PPHI3,MALeng1,MALeng2,MALeng3,FALeng1,FALeng2,FALeng3,FALeng4,PPLeng1,PPLeng2,PPLeng3,HeCGF1,HeCGF2,HeCGF3,OvHeight1,OvHeight2,OvHeight3,Halos,DorsalColor1,DorsalColor1,DorsalColor3,DorsalColor4,DorsalSpots,VentralColor1,VentralColor2,VentralColor3,VentralSpots1,HeadColor1,HeadColor2,HeadColor3,%degradeIx,Keel,EjacTipPP,PVdescends,PV-PB1,PV-PB2,PV-PB3,Ovid-lateral,ShapePP1,ShapePP2,ShapePP3,PPinclin,PPposit1,PPposit2,PPposit3,PPfolded,ShapeFA-FGC,PostFAfolded,CGDInclin,EDcurved
O. braunsi Marcus,braunsi,braunsi,braunsi,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
109a O. carinata type,carinata,carinata,carinata,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
109b O. carinata type,carinata,carinata,carinata,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
272 O. carinata type,carinata,carinata,carinata,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
O. divae type,divae,divae,divae,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0
F2918,braunsi,braunsi,braunsi,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
F2923,braunsi,braunsi,braunsi,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
F3084,sp1,sp1,sp1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
F3128,sp1,sp1,sp1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
F3614,sp2,sp2,sp2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
F3631,braunsi,braunsi,braunsi,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
F4572,braunsi,sp5,braunsi,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
F4967,braunsi,sp9,braunsi,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
